# precomputed using word2vec. (02-02-29)
# cf. doc2vec folder
limited	restricted
improvement	amelioration
poor	meager
poor	inferior
additional	further
further	additional
A lot of	numerous
a lot of	numerous
unveil	uncover
previous_findings	previous reports
instantly	instantaneously
fears	anxieties
evokes	elicits
Our_results	Our findings
a_lot_of	plenty_of
elicit	evoke
mean	average
robot-assisted	robotic-assisted
ideas	concepts
challenging	problematic
ethical_issues	ethical concerns
robust	reliable
subjects	participants
competitions	tournaments
emotional	affective
movement	motion
soccer	football
movements	motions
motions	movements
motion	movement
constraints	restrictions
children	infants
people	persons
guaranteed	assured
happen	take place
compelling	convincing
determine_whether	determine if
few	handful
severe	serious
suitable	useful
best	optimal
unique	distinctive
loss	deterioration
simple	straightforward
large	huge
due_to	because of
using	employing
study	investigation
only	just
but	though
successfully	efficiently
much	considerably
proposed	devised
well	reasonably well
attracted	aroused
appropriate	suitable
overcome	circumvent
type	kind
same	identical
amounts	quantities
causes	triggers
resulted	caused
degree	extent
fully	completely
abuse	misuse
replace	substitute
demand	requirement
arrangements	configurations
typical	characteristic
influences	affects
each	every
accurate	reliable
full	complete
expected	supposed
retained	preserved
with_respect	relating
ideal	optimal
far	much
intrinsic	inherent
benefit	profit
acceptable	satisfactory
uncertain	unclear
prove	confirm
biggest	largest
tend	seem
already	previously
most_important	main
wet	moist
complete	full
causing	inducing
nature	character
growing	expanding
# newly added by Tibor, Dec 23rd. 2018.
####
uniformly	homogeneously
reach	attain
In_order_to	To
Ag_NPs	Ag nanoparticles
alter	affect
acted	functioned
Because_of	Due_to
because of	due to
because_of	due_to
LIBs	Li-ion batteries
conductivity	electrical conductivity
good	satisfactory
driven_by	because_of
different	various
improved	enhanced
lithium_ion	Li-ion
exhibited	showed
new	novel
developed	devised
may	might
This	That
amount	quantity
found	observed
could	can
approach	strategy
novel	new
From	Based on
maximum	maximal
could_be	can be
Li-ion	lithium ion
strategy	approach
effectively	efficiently
behavior	behaviour
reduction	decrease
great	considerable
thus	hence
conventional	traditional
co-precipitation	coprecipitation
nanocomposites	nano-composites
uniform	homogeneous
Li-ion_batteries	lithium batteries
problem	issue
cyclability	cycleability
electrical_conductivity	electric conductivity
calcination	calcining
coulombic	columbic
synergistic	synergetic
behaviors	behaviours
obtain	derive
major	main
focused	centred
focused_on	concentrated_on
focused_on	revolved_around
focussed_on	concentrated_on
focussed_on	revolved_around
widely	extensively
greatly	substantially
necessary	required
this_study	the_present_study
average	mean
life_cycle	lifecycle
possess	owns
similar	comparable
charge-discharge	discharge/charge
investigate	examine
proved	demonstrated
optimal	optimum
low-cost	cheap
issues	problems
larger	bigger
nanofibers	nanofibres
ascribed	attributed
indicate_that	suggest that
attractive	appealing
tested	evaluated
traditional	conventional
lifetime	life-time
widely_used	commonly used
literature	scientific literature
nanosized	nano-sized
approximately	roughly
homogeneous	homogenous
challenges	issues
desirable	advantageous
Coulombic	columbic
sulphur	sulfur
maintained	kept
believed	thought
co-solvent	cosolvent
obtained_from	derived from
therefore	hence
comparable	similar
disadvantages	drawbacks
generally	usually
whole	entire
issue	problem
commercialized	marketed
Considering	Given
reliable	accurate
aluminum	aluminium
indicated_that	suggested that
costs	expenses
Better	Improved
considering	taking into account
chosen	selected
abundance	relative abundance
aging	ageing
one-step	single-step
Excellent	Good
efficiently	effectively
exceeding	exceeded
expensive	costly
environmental_friendliness	eco-friendliness
nanoscale	nano-scale
eventually	ultimately
applying	employing
simulate	emulate
whereas	while
state-of-the-art	state-of-art
kept	maintained
two-dimensional	2D
methodology	approach
an_important_role	important roles
attracted_much	attracted considerable
calculated	computed
thermogravimetric	thermo-gravimetric
present_study	current study
nano-sized	nanosized
inexpensive	cheap
importance	relevance
commonly_used	widely used
developments	advancements
enough	sufficiently
entire	whole
Among	Of
co-solvents	cosolvents
investigating	examining
objective	aim
extensively	intensively
suggest_that	indicate that
nondestructive	non-destructive
properly	appropriately
conduct	carry out
modifying	altering
co-doping	codoping
satisfactory	good
semicircle	semi-circle
accurately	reliably
extensively_studied	intensively studied
disadvantage	drawback
elastic-plastic	elasto-plastic
nanometer	nanometre
